Submission Code,Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
F,17-18,0001,01,Aitkin Public School District,Arabic,002,2,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,17-18,0001,01,Aitkin Public School District,English,011,1160,01,Aitkin                                       ,03,4,Outstate - Enrollment between 1000 and 1999
F,17-18,0001,03,Minneapolis Public School District,Tamil,118,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul (MPLS/STP)
F,17-18,0001,03,Minneapolis Public School District,"Swahili, Kiswahili ",070,15,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Maay,100,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Greek,054,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Kru,282,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Mam,425,9,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Mende,150,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Japanese,024,14,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Khmer, Cambodian ",005,18,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Somali,069,4179,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Arabic,002,71,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Indonesian, Bahasa Indonesian",032,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Filipino, Pilipino",126,13,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Chinese, Mandarin ",007,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Ebira,225,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Luxembourgeois,293,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Dutch,033,4,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Vietnamese,051,65,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Harari,137,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Bosnian,041,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Italian,023,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"English, Creolized",057,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Dakota,008,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Turkman ,135,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Ganda, Luganda ",095,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Bemba,098,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Hungarian,021,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Urdu,122,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Punjabi,117,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Czech,004,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Yoruba,075,3,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Nuer,076,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Slovene,044,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Haitian Creole,085,6,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Danish,009,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Albanian,072,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Hebrew,018,5,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Spanish,045,5083,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Tibetan,073,20,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Nepali,068,26,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Ukrainian,049,2,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,"Oromo, Afan Oromo, Oromiffa ",074,294,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Nyanja,330,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Portuguese,038,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Quichua,170,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Hindi ,019,11,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Wolof,094,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
F,17-18,0001,03,Minneapolis Public School District,Bambara,091,1,27,Hennepin                                     ,11,1,Minneapolis and Saint Paul
