Fiscal Year,District Number,District Type,District Name,Language Name,Home Primary Language,Enrollments,County Code,County Name,Economic Development Region,Strata,Strata Name
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"English, Creolized",057,14,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Cantonese,108,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Spanish,045,394,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,German,017,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Marathi,116,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,English,011,5914,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Somali,069,267,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Thai,047,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Slovene,044,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Mandingo,302,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Telugu,119,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Dutch,033,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Amharic,063,15,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Haitian Creole,085,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Nepali,068,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Finnish,014,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,15,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Tamil,118,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Tibetan,073,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Turkish,048,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Afrikaans,001,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Japanese,024,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Farsi ,013,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Malayalam,115,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Assamese,182,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Portuguese,038,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Tigrinya,071,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Russian,040,36,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Fulah,066,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Adangme,083,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Bengali,010,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,11,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Croatian,127,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Igbo,065,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Yoruba,075,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0270,01,HOPKINS PUBLIC SCHOOL DISTRICT,Hindi ,019,13,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,French,015,13,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Korean,026,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Russian,040,54,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Estonian,012,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Ganda, Luganda ",095,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Akan ,156,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Fulah,066,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Igbo,065,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kazakh,087,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Malayalam,115,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Bengali,010,17,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Amharic,063,18,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Twi,161,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Cheyenne,006,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,English,011,7896,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Yoruba,075,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Gujarati,112,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Kissi, Gissi ",273,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kom,276,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Samoan,056,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Adangme,083,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Ukrainian,049,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Portuguese,038,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,14,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,39,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tibetan,073,13,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Turkish,048,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Burmese,055,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Polish,037,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"English, Creolized",057,29,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Mandingo,302,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Uzbek,096,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hmong,020,28,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Hindi ,019,17,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Nuer,076,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Urdu,122,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Not Specific,052,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Arawak,079,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Vietnamese,051,190,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Iu Mien  ,061,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Pashto ,060,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Japanese,024,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Afrikaans,001,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Bosnian,041,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,German,017,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tigrinya,071,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Arabic,002,41,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Igala,253,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Greek,054,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Italian,023,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Cebuano,036,21,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,69,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Spanish,045,1164,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Ndebele,099,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Quechua,080,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Telugu,119,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Somali,069,323,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Norwegian,034,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Dutch,033,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Thai,047,10,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,103,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Danish,009,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Farsi ,013,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Grebo,077,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Tamil,118,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Nepali,068,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,47,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Lingala,067,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0271,01,BLOOMINGTON PUBLIC SCHOOL DISTRICT,Kamba,088,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Cantonese,108,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Indonesian, Bahasa Indonesian",032,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Chinese, Mandarin ",007,90,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Vietnamese,051,87,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Ukrainian,049,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Lao, Laotian ",028,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Telugu,119,38,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Sign Language, ASL",042,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Spanish,045,247,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Urdu,122,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Turkish,048,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Portuguese,038,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Japanese,024,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Romanian,039,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Thai,047,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Albanian,072,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Yoruba,075,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Gujarati,112,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bengali,010,92,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Polish,037,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Amharic,063,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Akan ,156,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Farsi ,013,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Tamil,118,27,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Oriya,334,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Cebuano,036,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Icelandic,022,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Oromo, Afan Oromo, Oromiffa ",074,16,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Swahili, Kiswahili ",070,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Korean,026,36,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,German,017,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Nepali,068,5,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Arabic,002,49,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Kannada ,113,7,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Finnish,014,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Filipino, Pilipino",126,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,French,015,6,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Konkani,114,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Somali,069,604,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Serbian,128,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,English,011,7551,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Danish,009,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Adangme,083,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Fulfulde,235,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hmong,020,8,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Assamese,182,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Fulah,066,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Afrikaans,001,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hebrew,018,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Hindi ,019,60,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Lithuanian,031,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Russian,040,59,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Malayalam,115,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Marathi,116,12,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,"Khmer, Cambodian ",005,26,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bosnian,041,9,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Bulgarian,064,1,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0272,01,EDEN PRAIRIE PUBLIC SCHOOL DISTRICT,Dutch,033,4,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Spanish,045,110,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Ukrainian,049,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Polish,037,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Turkish,048,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Romanian,039,3,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
12-13,0273,01,EDINA PUBLIC SCHOOL DISTRICT,Punjabi,117,2,27,Hennepin                                     ,11,2,County Metro Area excluding MPLS/STP
